pokemon_name,pokemon_type,damage_from,from_type
aerodactyl-mega,rock,2,grass
aerodactyl-mega,rock,2,ground
aerodactyl-mega,rock,1,normal
aerodactyl-mega,rock,1,poison
aerodactyl-mega,rock,2,steel
aerodactyl-mega,rock,2,water
aggron,rock,2,fighting
aggron,rock,1,fire
aggron,rock,1,flying
aggron,rock,2,grass
aggron,rock,2,ground
aggron,rock,1,normal
aggron,rock,1,poison
aggron,rock,2,steel
aggron,rock,2,water
aggron,steel,1,bug
aggron,steel,1,dragon
aggron,steel,1,fairy
aggron,steel,2,fighting
aggron,steel,2,fire
aggron,steel,1,flying
aggron,steel,1,grass
aggron,steel,2,ground
aggron,steel,1,ice
aggron,steel,1,normal
aggron,steel,0,poison
aggron,steel,1,psychic
aggron,steel,1,rock
aggron,steel,1,steel
aggron-mega,steel,1,bug
aggron-mega,steel,1,dragon
aggron-mega,steel,1,fairy
aggron-mega,steel,2,fighting
aggron-mega,steel,2,fire
aggron-mega,steel,1,flying
aggron-mega,steel,1,grass
aggron-mega,steel,2,ground
aggron-mega,steel,1,ice
aggron-mega,steel,1,normal
aggron-mega,steel,0,poison
aggron-mega,steel,1,psychic
aggron-mega,steel,1,rock
aggron-mega,steel,1,steel
aipom,normal,2,fighting
aipom,normal,0,ghost
alakazam,psychic,2,bug
alakazam,psychic,2,dark
alakazam,psychic,1,fighting
alakazam,psychic,2,ghost
alakazam,psychic,1,psychic
alakazam-mega,psychic,2,bug
alakazam-mega,psychic,2,dark
alakazam-mega,psychic,1,fighting
alakazam-mega,psychic,2,ghost
alakazam-mega,psychic,1,psychic
alomomola,water,2,electric
alomomola,water,1,fire
alomomola,water,2,grass
alomomola,water,1,ice
alomomola,water,1,steel
alomomola,water,1,water
altaria,dragon,2,dragon
altaria,dragon,1,electric
altaria,dragon,2,fairy
altaria,dragon,1,fire
altaria,dragon,1,grass
altaria,dragon,2,ice
altaria,dragon,1,water
altaria,flying,1,bug
altaria,flying,2,electric
altaria,flying,1,fighting
altaria,flying,1,grass
altaria,flying,0,ground
altaria,flying,2,ice
altaria,flying,2,rock
altaria-mega,dragon,2,dragon
altaria-mega,dragon,1,electric
altaria-mega,dragon,2,fairy
altaria-mega,dragon,1,fire
altaria-mega,dragon,1,grass
altaria-mega,dragon,2,ice
altaria-mega,dragon,1,water
altaria-mega,fairy,1,bug
altaria-mega,fairy,1,dark
altaria-mega,fairy,0,dragon
altaria-mega,fairy,1,fighting
altaria-mega,fairy,2,poison
altaria-mega,fairy,2,steel
amaura,ice,2,fighting
amaura,ice,2,fire
amaura,ice,1,ice
amaura,ice,2,rock
amaura,ice,2,steel
amaura,rock,2,fighting
amaura,rock,1,fire
amaura,rock,1,flying
amaura,rock,2,grass
amaura,rock,2,ground
amaura,rock,1,normal
amaura,rock,1,poison
amaura,rock,2,steel
amaura,rock,2,water
ambipom,normal,2,fighting
ambipom,normal,0,ghost
amoonguss,grass,2,bug
amoonguss,grass,1,electric
amoonguss,grass,2,fire
amoonguss,grass,2,flying
amoonguss,grass,1,grass
amoonguss,grass,1,ground
amoonguss,grass,2,ice
amoonguss,grass,2,poison
amoonguss,grass,1,water
amoonguss,poison,1,bug
amoonguss,poison,1,fairy
amoonguss,poison,1,fighting
amoonguss,poison,1,grass
amoonguss,poison,2,ground
amoonguss,poison,1,poison
amoonguss,poison,2,psychic
ampharos,electric,1,electric
ampharos,electric,1,flying
ampharos,electric,2,ground
ampharos,electric,1,steel
ampharos-mega,dragon,2,dragon
ampharos-mega,dragon,1,electric
ampharos-mega,dragon,2,fairy
ampharos-mega,dragon,1,fire
ampharos-mega,dragon,1,grass
ampharos-mega,dragon,2,ice
ampharos-mega,dragon,1,water
ampharos-mega,electric,1,electric
ampharos-mega,electric,1,flying
ampharos-mega,electric,2,ground
ampharos-mega,electric,1,steel
anorith,bug,1,fighting
anorith,bug,2,fire
anorith,bug,2,flying
anorith,bug,1,grass
anorith,bug,1,ground
anorith,bug,2,rock
anorith,rock,2,fighting
anorith,rock,1,fire
anorith,rock,1,flying
anorith,rock,2,grass
anorith,rock,2,ground
anorith,rock,1,normal
anorith,rock,1,poison
anorith,rock,2,steel
anorith,rock,2,water
arbok,poison,1,bug
arbok,poison,1,fairy
arbok,poison,1,fighting
arbok,poison,1,grass
arbok,poison,2,ground
arbok,poison,1,poison
arbok,poison,2,psychic
arcanine,fire,1,bug
arcanine,fire,1,fairy
arcanine,fire,1,fire
arcanine,fire,1,grass
arcanine,fire,2,ground
arcanine,fire,1,ice
arcanine,fire,2,rock
arcanine,fire,1,steel
arcanine,fire,2,water
arceus,normal,2,fighting
arceus,normal,0,ghost
archen,flying,1,bug
archen,flying,2,electric
archen,flying,1,fighting
archen,flying,1,grass
archen,flying,0,ground
archen,flying,2,ice
archen,flying,2,rock
archen,rock,2,fighting
archen,rock,1,fire
archen,rock,1,flying
archen,rock,2,grass
archen,rock,2,ground
archen,rock,1,normal
archen,rock,1,poison
archen,rock,2,steel
archen,rock,2,water
archeops,flying,1,bug
archeops,flying,2,electric
archeops,flying,1,fighting
archeops,flying,1,grass
archeops,flying,0,ground
archeops,flying,2,ice
archeops,flying,2,rock
archeops,rock,2,fighting
archeops,rock,1,fire
archeops,rock,1,flying
archeops,rock,2,grass
archeops,rock,2,ground
archeops,rock,1,normal
archeops,rock,1,poison
archeops,rock,2,steel
archeops,rock,2,water
ariados,bug,1,fighting
ariados,bug,2,fire
ariados,bug,2,flying
ariados,bug,1,grass
ariados,bug,1,ground
ariados,bug,2,rock
ariados,poison,1,bug
ariados,poison,1,fairy
ariados,poison,1,fighting
ariados,poison,1,grass
ariados,poison,2,ground
ariados,poison,1,poison
ariados,poison,2,psychic
armaldo,bug,1,fighting
armaldo,bug,2,fire
armaldo,bug,2,flying
armaldo,bug,1,grass
armaldo,bug,1,ground
armaldo,bug,2,rock
armaldo,rock,2,fighting
armaldo,rock,1,fire
armaldo,rock,1,flying
armaldo,rock,2,grass
armaldo,rock,2,ground
armaldo,rock,1,normal
armaldo,rock,1,poison
armaldo,rock,2,steel
armaldo,rock,2,water
aromatisse,fairy,1,bug
aromatisse,fairy,1,dark
aromatisse,fairy,0,dragon
aromatisse,fairy,1,fighting
aromatisse,fairy,2,poison
aromatisse,fairy,2,steel
aron,rock,2,fighting
aron,rock,1,fire
aron,rock,1,flying
aron,rock,2,grass
aron,rock,2,ground
aron,rock,1,normal
aron,rock,1,poison
aron,rock,2,steel
aron,rock,2,water
aron,steel,1,bug
aron,steel,1,dragon
aron,steel,1,fairy
aron,steel,2,fighting
aron,steel,2,fire
aron,steel,1,flying
aron,steel,1,grass
aron,steel,2,ground
aron,steel,1,ice
aron,steel,1,normal
aron,steel,0,poison
aron,steel,1,psychic
aron,steel,1,rock
aron,steel,1,steel
articuno,flying,1,bug
articuno,flying,2,electric
articuno,flying,1,fighting
articuno,flying,1,grass
articuno,flying,0,ground
articuno,flying,2,ice
articuno,flying,2,rock
articuno,ice,2,fighting
articuno,ice,2,fire
articuno,ice,1,ice
articuno,ice,2,rock
articuno,ice,2,steel
audino,normal,2,fighting
audino,normal,0,ghost
audino-mega,fairy,1,bug
audino-mega,fairy,1,dark
audino-mega,fairy,0,dragon
audino-mega,fairy,1,fighting
audino-mega,fairy,2,poison
audino-mega,fairy,2,steel
audino-mega,normal,2,fighting
audino-mega,normal,0,ghost
aurorus,ice,2,fighting
aurorus,ice,2,fire
aurorus,ice,1,ice
aurorus,ice,2,rock
aurorus,ice,2,steel
aurorus,rock,2,fighting
aurorus,rock,1,fire
aurorus,rock,1,flying
aurorus,rock,2,grass
aurorus,rock,2,ground
aurorus,rock,1,normal
aurorus,rock,1,poison
aurorus,rock,2,steel
aurorus,rock,2,water
avalugg,ice,2,fighting
avalugg,ice,2,fire
avalugg,ice,1,ice
avalugg,ice,2,rock
avalugg,ice,2,steel
axew,dragon,2,dragon
axew,dragon,1,electric
axew,dragon,2,fairy
axew,dragon,1,fire
axew,dragon,1,grass
axew,dragon,2,ice
axew,dragon,1,water
azelf,psychic,2,bug
azelf,psychic,2,dark
azelf,psychic,1,fighting
azelf,psychic,2,ghost
azelf,psychic,1,psychic
azumarill,fairy,1,bug
azumarill,fairy,1,dark
azumarill,fairy,0,dragon
azumarill,fairy,1,fighting
azumarill,fairy,2,poison
azumarill,fairy,2,steel
azumarill,water,2,electric
azumarill,water,1,fire
azumarill,water,2,grass
azumarill,water,1,ice
azumarill,water,1,steel
azumarill,water,1,water
azurill,fairy,1,bug
azurill,fairy,1,dark
azurill,fairy,0,dragon
azurill,fairy,1,fighting
azurill,fairy,2,poison
azurill,fairy,2,steel
azurill,normal,2,fighting
azurill,normal,0,ghost
bagon,dragon,2,dragon
bagon,dragon,1,electric
bagon,dragon,2,fairy
bagon,dragon,1,fire
bagon,dragon,1,grass
bagon,dragon,2,ice
bagon,dragon,1,water
baltoy,ground,0,electric
baltoy,ground,2,grass
baltoy,ground,2,ice
baltoy,ground,1,poison
baltoy,ground,1,rock
baltoy,ground,2,water
baltoy,psychic,2,bug
baltoy,psychic,2,dark
baltoy,psychic,1,fighting
baltoy,psychic,2,ghost
baltoy,psychic,1,psychic
banette,ghost,1,bug
banette,ghost,2,dark
banette,ghost,0,fighting
banette,ghost,2,ghost
banette,ghost,0,normal
banette,ghost,1,poison
banette-mega,ghost,1,bug
banette-mega,ghost,2,dark
banette-mega,ghost,0,fighting
banette-mega,ghost,2,ghost
banette-mega,ghost,0,normal
banette-mega,ghost,1,poison
barbaracle,rock,2,fighting
barbaracle,rock,1,fire
barbaracle,rock,1,flying
barbaracle,rock,2,grass
barbaracle,rock,2,ground
barbaracle,rock,1,normal
barbaracle,rock,1,poison
barbaracle,rock,2,steel
barbaracle,rock,2,water
barbaracle,water,2,electric
barbaracle,water,1,fire
barbaracle,water,2,grass
barbaracle,water,1,ice
barbaracle,water,1,steel
barbaracle,water,1,water
barboach,ground,0,electric
barboach,ground,2,grass
barboach,ground,2,ice
barboach,ground,1,poison
barboach,ground,1,rock
barboach,ground,2,water
barboach,water,2,electric
barboach,water,1,fire
barboach,water,2,grass
barboach,water,1,ice
barboach,water,1,steel
barboach,water,1,water
basculin-blue-striped,water,2,electric
basculin-blue-striped,water,1,fire
basculin-blue-striped,water,2,grass
basculin-blue-striped,water,1,ice
basculin-blue-striped,water,1,steel
basculin-blue-striped,water,1,water
basculin-red-striped,water,2,electric
basculin-red-striped,water,1,fire
basculin-red-striped,water,2,grass
basculin-red-striped,water,1,ice
basculin-red-striped,water,1,steel
basculin-red-striped,water,1,water
bastiodon,rock,2,fighting
bastiodon,rock,1,fire
bastiodon,rock,1,flying
bastiodon,rock,2,grass
bastiodon,rock,2,ground
bastiodon,rock,1,normal
bastiodon,rock,1,poison
bastiodon,rock,2,steel
bastiodon,rock,2,water
bastiodon,steel,1,bug
bastiodon,steel,1,dragon
bastiodon,steel,1,fairy
bastiodon,steel,2,fighting
bastiodon,steel,2,fire
bastiodon,steel,1,flying
bastiodon,steel,1,grass
bastiodon,steel,2,ground
bastiodon,steel,1,ice
bastiodon,steel,1,normal
bastiodon,steel,0,poison
bastiodon,steel,1,psychic
bastiodon,steel,1,rock
bastiodon,steel,1,steel
bayleef,grass,2,bug
bayleef,grass,1,electric
bayleef,grass,2,fire
bayleef,grass,2,flying
bayleef,grass,1,grass
bayleef,grass,1,ground
bayleef,grass,2,ice
bayleef,grass,2,poison
bayleef,grass,1,water
beartic,ice,2,fighting
beartic,ice,2,fire
beartic,ice,1,ice
beartic,ice,2,rock
beartic,ice,2,steel
beautifly,bug,1,fighting
beautifly,bug,2,fire
beautifly,bug,2,flying
beautifly,bug,1,grass
beautifly,bug,1,ground
beautifly,bug,2,rock
beautifly,flying,1,bug
beautifly,flying,2,electric
beautifly,flying,1,fighting
beautifly,flying,1,grass
beautifly,flying,0,ground
beautifly,flying,2,ice
beautifly,flying,2,rock
beedrill,bug,1,fighting
beedrill,bug,2,fire
beedrill,bug,2,flying
beedrill,bug,1,grass
beedrill,bug,1,ground
beedrill,bug,2,rock
beedrill,poison,1,bug
beedrill,poison,1,fairy
beedrill,poison,1,fighting
beedrill,poison,1,grass
beedrill,poison,2,ground
beedrill,poison,1,poison
beedrill,poison,2,psychic
beedrill-mega,bug,1,fighting
beedrill-mega,bug,2,fire
beedrill-mega,bug,2,flying
beedrill-mega,bug,1,grass
beedrill-mega,bug,1,ground
beedrill-mega,bug,2,rock
beedrill-mega,poison,1,bug
beedrill-mega,poison,1,fairy
beedrill-mega,poison,1,fighting
beedrill-mega,poison,1,grass
beedrill-mega,poison,2,ground
beedrill-mega,poison,1,poison
beedrill-mega,poison,2,psychic
beheeyem,psychic,2,bug
beheeyem,psychic,2,dark
beheeyem,psychic,1,fighting
beheeyem,psychic,2,ghost
beheeyem,psychic,1,psychic
beldum,psychic,2,bug
beldum,psychic,2,dark
beldum,psychic,1,fighting
beldum,psychic,2,ghost
beldum,psychic,1,psychic
beldum,steel,1,bug
beldum,steel,1,dragon
beldum,steel,1,fairy
beldum,steel,2,fighting
beldum,steel,2,fire
beldum,steel,1,flying
beldum,steel,1,grass
beldum,steel,2,ground
beldum,steel,1,ice
beldum,steel,1,normal
beldum,steel,0,poison
beldum,steel,1,psychic
beldum,steel,1,rock
beldum,steel,1,steel
bellossom,grass,2,bug
bellossom,grass,1,electric
bellossom,grass,2,fire
bellossom,grass,2,flying
bellossom,grass,1,grass
bellossom,grass,1,ground
bellossom,grass,2,ice
bellossom,grass,2,poison
bellossom,grass,1,water
bellsprout,grass,2,bug
bellsprout,grass,1,electric
bellsprout,grass,2,fire
bellsprout,grass,2,flying
bellsprout,grass,1,grass
bellsprout,grass,1,ground
bellsprout,grass,2,ice
bellsprout,grass,2,poison
bellsprout,grass,1,water
bellsprout,poison,1,bug
bellsprout,poison,1,fairy
bellsprout,poison,1,fighting
bellsprout,poison,1,grass
bellsprout,poison,2,ground
bellsprout,poison,1,poison
bellsprout,poison,2,psychic
bergmite,ice,2,fighting
bergmite,ice,2,fire
bergmite,ice,1,ice
bergmite,ice,2,rock
bergmite,ice,2,steel
bibarel,normal,2,fighting
bibarel,normal,0,ghost
bibarel,water,2,electric
bibarel,water,1,fire
bibarel,water,2,grass
bibarel,water,1,ice
bibarel,water,1,steel
bibarel,water,1,water
bidoof,normal,2,fighting
bidoof,normal,0,ghost
binacle,rock,2,fighting
binacle,rock,1,fire
binacle,rock,1,flying
binacle,rock,2,grass
binacle,rock,2,ground
binacle,rock,1,normal
binacle,rock,1,poison
binacle,rock,2,steel
binacle,rock,2,water
binacle,water,2,electric
binacle,water,1,fire
binacle,water,2,grass
binacle,water,1,ice
binacle,water,1,steel
binacle,water,1,water
bisharp,dark,2,bug
bisharp,dark,1,dark
bisharp,dark,2,fairy
bisharp,dark,2,fighting
bisharp,dark,1,ghost
bisharp,dark,0,psychic
bisharp,steel,1,bug
bisharp,steel,1,dragon
bisharp,steel,1,fairy
bisharp,steel,2,fighting
bisharp,steel,2,fire
bisharp,steel,1,flying
bisharp,steel,1,grass
bisharp,steel,2,ground
bisharp,steel,1,ice
bisharp,steel,1,normal
bisharp,steel,0,poison
bisharp,steel,1,psychic
bisharp,steel,1,rock
bisharp,steel,1,steel
blastoise,water,2,electric
blastoise,water,1,fire
blastoise,water,2,grass
blastoise,water,1,ice
blastoise,water,1,steel
blastoise,water,1,water
blastoise-mega,water,2,electric
blastoise-mega,water,1,fire
blastoise-mega,water,2,grass
blastoise-mega,water,1,ice
blastoise-mega,water,1,steel
blastoise-mega,water,1,water
blaziken,fighting,1,bug
blaziken,fighting,1,dark
blaziken,fighting,2,fairy
blaziken,fighting,2,flying
blaziken,fighting,2,psychic
blaziken,fighting,1,rock
blaziken,fire,1,bug
blaziken,fire,1,fairy
blaziken,fire,1,fire
blaziken,fire,1,grass
blaziken,fire,2,ground
blaziken,fire,1,ice
blaziken,fire,2,rock
blaziken,fire,1,steel
blaziken,fire,2,water
blaziken-mega,fighting,1,bug
blaziken-mega,fighting,1,dark
blaziken-mega,fighting,2,fairy
blaziken-mega,fighting,2,flying
blaziken-mega,fighting,2,psychic
blaziken-mega,fighting,1,rock
blaziken-mega,fire,1,bug
blaziken-mega,fire,1,fairy
blaziken-mega,fire,1,fire
blaziken-mega,fire,1,grass
blaziken-mega,fire,2,ground
blaziken-mega,fire,1,ice
blaziken-mega,fire,2,rock
blaziken-mega,fire,1,steel
blaziken-mega,fire,2,water
blissey,normal,2,fighting
blissey,normal,0,ghost
blitzle,electric,1,electric
blitzle,electric,1,flying
blitzle,electric,2,ground
blitzle,electric,1,steel
boldore,rock,2,fighting
boldore,rock,1,fire
boldore,rock,1,flying
boldore,rock,2,grass
boldore,rock,2,ground
boldore,rock,1,normal
boldore,rock,1,poison
boldore,rock,2,steel
boldore,rock,2,water
bonsly,rock,2,fighting
bonsly,rock,1,fire
bonsly,rock,1,flying
bonsly,rock,2,grass
bonsly,rock,2,ground
bonsly,rock,1,normal
bonsly,rock,1,poison
bonsly,rock,2,steel
bonsly,rock,2,water
bouffalant,normal,2,fighting
bouffalant,normal,0,ghost
braixen,fire,1,bug
braixen,fire,1,fairy
braixen,fire,1,fire
braixen,fire,1,grass
braixen,fire,2,ground
braixen,fire,1,ice
braixen,fire,2,rock
braixen,fire,1,steel
braixen,fire,2,water
braviary,flying,1,bug
braviary,flying,2,electric
braviary,flying,1,fighting
braviary,flying,1,grass
braviary,flying,0,ground
braviary,flying,2,ice
braviary,flying,2,rock
braviary,normal,2,fighting
braviary,normal,0,ghost
breloom,fighting,1,bug
breloom,fighting,1,dark
breloom,fighting,2,fairy
breloom,fighting,2,flying
breloom,fighting,2,psychic
breloom,fighting,1,rock
breloom,grass,2,bug
breloom,grass,1,electric
breloom,grass,2,fire
breloom,grass,2,flying
breloom,grass,1,grass
breloom,grass,1,ground
breloom,grass,2,ice
breloom,grass,2,poison
breloom,grass,1,water
bronzong,psychic,2,bug
bronzong,psychic,2,dark
bronzong,psychic,1,fighting
bronzong,psychic,2,ghost
bronzong,psychic,1,psychic
bronzong,steel,1,bug
bronzong,steel,1,dragon
bronzong,steel,1,fairy
bronzong,steel,2,fighting
bronzong,steel,2,fire
bronzong,steel,1,flying
bronzong,steel,1,grass
bronzong,steel,2,ground
bronzong,steel,1,ice
bronzong,steel,1,normal
bronzong,steel,0,poison
bronzong,steel,1,psychic
bronzong,steel,1,rock
bronzong,steel,1,steel
bronzor,psychic,2,bug
bronzor,psychic,2,dark
bronzor,psychic,1,fighting
bronzor,psychic,2,ghost
bronzor,psychic,1,psychic
bronzor,steel,1,bug
bronzor,steel,1,dragon
bronzor,steel,1,fairy
bronzor,steel,2,fighting
bronzor,steel,2,fire
bronzor,steel,1,flying
bronzor,steel,1,grass
bronzor,steel,2,ground
bronzor,steel,1,ice
bronzor,steel,1,normal
bronzor,steel,0,poison
bronzor,steel,1,psychic
bronzor,steel,1,rock
bronzor,steel,1,steel
budew,grass,2,bug
budew,grass,1,electric
budew,grass,2,fire
budew,grass,2,flying
budew,grass,1,grass
budew,grass,1,ground
budew,grass,2,ice
budew,grass,2,poison
budew,grass,1,water
budew,poison,1,bug
budew,poison,1,fairy
budew,poison,1,fighting
budew,poison,1,grass
budew,poison,2,ground
budew,poison,1,poison
budew,poison,2,psychic
buizel,water,2,electric
buizel,water,1,fire
buizel,water,2,grass
buizel,water,1,ice
buizel,water,1,steel
buizel,water,1,water
bulbasaur,grass,2,bug
bulbasaur,grass,1,electric
bulbasaur,grass,2,fire
bulbasaur,grass,2,flying
bulbasaur,grass,1,grass
bulbasaur,grass,1,ground
bulbasaur,grass,2,ice
bulbasaur,grass,2,poison
bulbasaur,grass,1,water
bulbasaur,poison,1,bug
bulbasaur,poison,1,fairy
bulbasaur,poison,1,fighting
bulbasaur,poison,1,grass
bulbasaur,poison,2,ground
bulbasaur,poison,1,poison
bulbasaur,poison,2,psychic
buneary,normal,2,fighting
buneary,normal,0,ghost
bunnelby,normal,2,fighting
bunnelby,normal,0,ghost
burmy,bug,1,fighting
burmy,bug,2,fire
burmy,bug,2,flying
burmy,bug,1,grass
burmy,bug,1,ground
burmy,bug,2,rock
butterfree,bug,1,fighting
butterfree,bug,2,fire
butterfree,bug,2,flying
butterfree,bug,1,grass
butterfree,bug,1,ground
butterfree,bug,2,rock
butterfree,flying,1,bug
butterfree,flying,2,electric
butterfree,flying,1,fighting
butterfree,flying,1,grass
butterfree,flying,0,ground
butterfree,flying,2,ice
butterfree,flying,2,rock
cacnea,grass,2,bug
cacnea,grass,1,electric
cacnea,grass,2,fire
cacnea,grass,2,flying
cacnea,grass,1,grass
cacnea,grass,1,ground
cacnea,grass,2,ice
cacnea,grass,2,poison
cacnea,grass,1,water
cacturne,dark,2,bug
cacturne,dark,1,dark
cacturne,dark,2,fairy
cacturne,dark,2,fighting
cacturne,dark,1,ghost
cacturne,dark,0,psychic
cacturne,grass,2,bug
cacturne,grass,1,electric
cacturne,grass,2,fire
cacturne,grass,2,flying
cacturne,grass,1,grass
cacturne,grass,1,ground
cacturne,grass,2,ice
cacturne,grass,2,poison
cacturne,grass,1,water
camerupt,fire,1,bug
camerupt,fire,1,fairy
camerupt,fire,1,fire
camerupt,fire,1,grass
camerupt,fire,2,ground
camerupt,fire,1,ice
camerupt,fire,2,rock
camerupt,fire,1,steel
camerupt,fire,2,water
camerupt,ground,0,electric
camerupt,ground,2,grass
camerupt,ground,2,ice
camerupt,ground,1,poison
camerupt,ground,1,rock
camerupt,ground,2,water
camerupt-mega,fire,1,bug
camerupt-mega,fire,1,fairy
camerupt-mega,fire,1,fire
camerupt-mega,fire,1,grass
camerupt-mega,fire,2,ground
camerupt-mega,fire,1,ice
camerupt-mega,fire,2,rock
camerupt-mega,fire,1,steel
camerupt-mega,fire,2,water
camerupt-mega,ground,0,electric
camerupt-mega,ground,2,grass
camerupt-mega,ground,2,ice
camerupt-mega,ground,1,poison
camerupt-mega,ground,1,rock
camerupt-mega,ground,2,water
carbink,fairy,1,bug
carbink,fairy,1,dark
carbink,fairy,0,dragon
carbink,fairy,1,fighting
carbink,fairy,2,poison
carbink,fairy,2,steel
carbink,rock,2,fighting
carbink,rock,1,fire
carbink,rock,1,flying
carbink,rock,2,grass
carbink,rock,2,ground
carbink,rock,1,normal
carbink,rock,1,poison
carbink,rock,2,steel
carbink,rock,2,water
carnivine,grass,2,bug
carnivine,grass,1,electric
carnivine,grass,2,fire
carnivine,grass,2,flying
carnivine,grass,1,grass
carnivine,grass,1,ground
carnivine,grass,2,ice
carnivine,grass,2,poison
carnivine,grass,1,water
carracosta,rock,2,fighting
carracosta,rock,1,fire
carracosta,rock,1,flying
carracosta,rock,2,grass
carracosta,rock,2,ground
carracosta,rock,1,normal
carracosta,rock,1,poison
carracosta,rock,2,steel
carracosta,rock,2,water
carracosta,water,2,electric
carracosta,water,1,fire
carracosta,water,2,grass
carracosta,water,1,ice
carracosta,water,1,steel
carracosta,water,1,water
carvanha,dark,2,bug
carvanha,dark,1,dark
carvanha,dark,2,fairy
carvanha,dark,2,fighting
carvanha,dark,1,ghost
carvanha,dark,0,psychic
carvanha,water,2,electric
carvanha,water,1,fire
carvanha,water,2,grass
carvanha,water,1,ice
carvanha,water,1,steel
carvanha,water,1,water
cascoon,bug,1,fighting
cascoon,bug,2,fire
cascoon,bug,2,flying
cascoon,bug,1,grass
cascoon,bug,1,ground
cascoon,bug,2,rock
castform,normal,2,fighting
castform,normal,0,ghost
castform-rainy,water,2,electric
castform-rainy,water,1,fire
castform-rainy,water,2,grass
castform-rainy,water,1,ice
castform-rainy,water,1,steel
castform-rainy,water,1,water
castform-snowy,ice,2,fighting
castform-snowy,ice,2,fire
castform-snowy,ice,1,ice
castform-snowy,ice,2,rock
castform-snowy,ice,2,steel
castform-sunny,fire,1,bug
castform-sunny,fire,1,fairy
castform-sunny,fire,1,fire
castform-sunny,fire,1,grass
castform-sunny,fire,2,ground
castform-sunny,fire,1,ice
castform-sunny,fire,2,rock
castform-sunny,fire,1,steel
castform-sunny,fire,2,water
caterpie,bug,1,fighting
caterpie,bug,2,fire
caterpie,bug,2,flying
