pokemon_name,pokemon_type,damage_to,to_type
aerodactyl,flying,2,grass
aerodactyl,flying,1,rock
aerodactyl,flying,1,steel
aerodactyl,rock,2,bug
aerodactyl,rock,1,fighting
aerodactyl,rock,2,fire
aerodactyl,rock,2,flying
aerodactyl,rock,1,ground
aerodactyl,rock,2,ice
aerodactyl,rock,1,steel
aerodactyl-mega,flying,2,bug
aerodactyl-mega,flying,1,electric
aerodactyl-mega,flying,2,fighting
aerodactyl-mega,flying,2,grass
aerodactyl-mega,flying,1,rock
aerodactyl-mega,flying,1,steel
aerodactyl-mega,rock,2,bug
aerodactyl-mega,rock,1,fighting
aerodactyl-mega,rock,2,fire
aerodactyl-mega,rock,2,flying
aerodactyl-mega,rock,1,ground
aerodactyl-mega,rock,2,ice
aerodactyl-mega,rock,1,steel
aggron,rock,2,bug
aggron,rock,1,fighting
aggron,rock,2,fire
aggron,rock,2,flying
aggron,rock,1,ground
aggron,rock,2,ice
aggron,rock,1,steel
aggron,steel,1,electric
aggron,steel,2,fairy
aggron,steel,1,fire
aggron,steel,2,ice
aggron,steel,2,rock
aggron,steel,1,steel
aggron,steel,1,water
aggron-mega,steel,1,electric
aggron-mega,steel,2,fairy
aggron-mega,steel,1,fire
aggron-mega,steel,2,ice
aggron-mega,steel,2,rock
aggron-mega,steel,1,steel
aggron-mega,steel,1,water
aipom,normal,0,ghost
aipom,normal,1,rock
aipom,normal,1,steel
alakazam,psychic,0,dark
alakazam,psychic,2,fighting
alakazam,psychic,2,poison
alakazam,psychic,1,psychic
alakazam,psychic,1,steel
alakazam-mega,psychic,0,dark
alakazam-mega,psychic,2,fighting
alakazam-mega,psychic,2,poison
alakazam-mega,psychic,1,psychic
alakazam-mega,psychic,1,steel
alomomola,water,1,dragon
alomomola,water,2,fire
alomomola,water,1,grass
alomomola,water,2,ground
alomomola,water,2,rock
alomomola,water,1,water
altaria,dragon,2,dragon
altaria,dragon,0,fairy
altaria,dragon,1,steel
altaria,flying,2,bug
altaria,flying,1,electric
altaria,flying,2,fighting
altaria,flying,2,grass
altaria,flying,1,rock
altaria,flying,1,steel
altaria-mega,dragon,2,dragon
altaria-mega,dragon,0,fairy
altaria-mega,dragon,1,steel
altaria-mega,fairy,2,dark
altaria-mega,fairy,2,dragon
altaria-mega,fairy,2,fighting
altaria-mega,fairy,1,fire
altaria-mega,fairy,1,poison
altaria-mega,fairy,1,steel
amaura,ice,2,dragon
amaura,ice,1,fire
amaura,ice,2,flying
amaura,ice,2,grass
amaura,ice,2,ground
amaura,ice,1,ice
amaura,ice,1,steel
amaura,ice,1,water
amaura,rock,2,bug
amaura,rock,1,fighting
amaura,rock,2,fire
amaura,rock,2,flying
amaura,rock,1,ground
amaura,rock,2,ice
amaura,rock,1,steel
ambipom,normal,0,ghost
ambipom,normal,1,rock
ambipom,normal,1,steel
amoonguss,grass,1,bug
amoonguss,grass,1,dragon
amoonguss,grass,1,fire
amoonguss,grass,1,flying
amoonguss,grass,1,grass
amoonguss,grass,2,ground
amoonguss,grass,1,poison
amoonguss,grass,2,rock
amoonguss,grass,1,steel
amoonguss,grass,2,water
amoonguss,poison,2,fairy
amoonguss,poison,1,ghost
amoonguss,poison,2,grass
amoonguss,poison,1,ground
amoonguss,poison,1,poison
amoonguss,poison,1,rock
amoonguss,poison,0,steel
ampharos,electric,1,dragon
ampharos,electric,1,electric
ampharos,electric,2,flying
ampharos,electric,1,grass
ampharos,electric,0,ground
ampharos,electric,2,water
ampharos-mega,dragon,2,dragon
ampharos-mega,dragon,0,fairy
ampharos-mega,dragon,1,steel
ampharos-mega,electric,1,dragon
ampharos-mega,electric,1,electric
ampharos-mega,electric,2,flying
ampharos-mega,electric,1,grass
ampharos-mega,electric,0,ground
ampharos-mega,electric,2,water
anorith,bug,2,dark
anorith,bug,1,fairy
anorith,bug,1,fighting
anorith,bug,1,fire
anorith,bug,1,flying
anorith,bug,1,ghost
anorith,bug,2,grass
anorith,bug,1,poison
anorith,bug,2,psychic
anorith,bug,1,steel
anorith,rock,2,bug
anorith,rock,1,fighting
anorith,rock,2,fire
anorith,rock,2,flying
anorith,rock,1,ground
anorith,rock,2,ice
anorith,rock,1,steel
arbok,poison,2,fairy
arbok,poison,1,ghost
arbok,poison,2,grass
arbok,poison,1,ground
arbok,poison,1,poison
arbok,poison,1,rock
arbok,poison,0,steel
arcanine,fire,2,bug
arcanine,fire,1,dragon
arcanine,fire,1,fire
arcanine,fire,2,grass
arcanine,fire,2,ice
arcanine,fire,1,rock
arcanine,fire,2,steel
arcanine,fire,1,water
arceus,normal,0,ghost
arceus,normal,1,rock
arceus,normal,1,steel
archen,flying,2,bug
archen,flying,1,electric
archen,flying,2,fighting
archen,flying,2,grass
archen,flying,1,rock
archen,flying,1,steel
archen,rock,2,bug
archen,rock,1,fighting
archen,rock,2,fire
archen,rock,2,flying
archen,rock,1,ground
archen,rock,2,ice
archen,rock,1,steel
archeops,flying,2,bug
archeops,flying,1,electric
archeops,flying,2,fighting
archeops,flying,2,grass
archeops,flying,1,rock
archeops,flying,1,steel
archeops,rock,2,bug
archeops,rock,1,fighting
archeops,rock,2,fire
archeops,rock,2,flying
archeops,rock,1,ground
archeops,rock,2,ice
archeops,rock,1,steel
ariados,bug,2,dark
ariados,bug,1,fairy
ariados,bug,1,fighting
ariados,bug,1,fire
ariados,bug,1,flying
ariados,bug,1,ghost
ariados,bug,2,grass
ariados,bug,1,poison
ariados,bug,2,psychic
ariados,bug,1,steel
ariados,poison,2,fairy
ariados,poison,1,ghost
ariados,poison,2,grass
ariados,poison,1,ground
ariados,poison,1,poison
ariados,poison,1,rock
ariados,poison,0,steel
armaldo,bug,2,dark
armaldo,bug,1,fairy
armaldo,bug,1,fighting
armaldo,bug,1,fire
armaldo,bug,1,flying
armaldo,bug,1,ghost
armaldo,bug,2,grass
armaldo,bug,1,poison
armaldo,bug,2,psychic
armaldo,bug,1,steel
armaldo,rock,2,bug
armaldo,rock,1,fighting
armaldo,rock,2,fire
armaldo,rock,2,flying
armaldo,rock,1,ground
armaldo,rock,2,ice
armaldo,rock,1,steel
aromatisse,fairy,2,dark
aromatisse,fairy,2,dragon
aromatisse,fairy,2,fighting
aromatisse,fairy,1,fire
aromatisse,fairy,1,poison
aromatisse,fairy,1,steel
aron,rock,2,bug
aron,rock,1,fighting
aron,rock,2,fire
aron,rock,2,flying
aron,rock,1,ground
aron,rock,2,ice
aron,rock,1,steel
aron,steel,1,electric
aron,steel,2,fairy
aron,steel,1,fire
aron,steel,2,ice
aron,steel,2,rock
aron,steel,1,steel
aron,steel,1,water
articuno,flying,2,bug
articuno,flying,1,electric
articuno,flying,2,fighting
articuno,flying,2,grass
articuno,flying,1,rock
articuno,flying,1,steel
articuno,ice,2,dragon
articuno,ice,1,fire
articuno,ice,2,flying
articuno,ice,2,grass
articuno,ice,2,ground
articuno,ice,1,ice
articuno,ice,1,steel
articuno,ice,1,water
audino,normal,0,ghost
audino,normal,1,rock
audino,normal,1,steel
audino-mega,fairy,2,dark
audino-mega,fairy,2,dragon
audino-mega,fairy,2,fighting
audino-mega,fairy,1,fire
audino-mega,fairy,1,poison
audino-mega,fairy,1,steel
audino-mega,normal,0,ghost
audino-mega,normal,1,rock
audino-mega,normal,1,steel
aurorus,ice,2,dragon
aurorus,ice,1,fire
aurorus,ice,2,flying
aurorus,ice,2,grass
aurorus,ice,2,ground
aurorus,ice,1,ice
aurorus,ice,1,steel
aurorus,ice,1,water
aurorus,rock,2,bug
aurorus,rock,1,fighting
aurorus,rock,2,fire
aurorus,rock,2,flying
aurorus,rock,1,ground
aurorus,rock,2,ice
aurorus,rock,1,steel
avalugg,ice,2,dragon
avalugg,ice,1,fire
avalugg,ice,2,flying
avalugg,ice,2,grass
avalugg,ice,2,ground
avalugg,ice,1,ice
avalugg,ice,1,steel
avalugg,ice,1,water
axew,dragon,2,dragon
axew,dragon,0,fairy
axew,dragon,1,steel
azelf,psychic,0,dark
azelf,psychic,2,fighting
azelf,psychic,2,poison
azelf,psychic,1,psychic
azelf,psychic,1,steel
azumarill,fairy,2,dark
azumarill,fairy,2,dragon
azumarill,fairy,2,fighting
azumarill,fairy,1,fire
azumarill,fairy,1,poison
azumarill,fairy,1,steel
azumarill,water,1,dragon
azumarill,water,2,fire
azumarill,water,1,grass
azumarill,water,2,ground
azumarill,water,2,rock
azumarill,water,1,water
azurill,fairy,2,dark
azurill,fairy,2,dragon
azurill,fairy,2,fighting
azurill,fairy,1,fire
azurill,fairy,1,poison
azurill,fairy,1,steel
azurill,normal,0,ghost
azurill,normal,1,rock
azurill,normal,1,steel
bagon,dragon,2,dragon
bagon,dragon,0,fairy
bagon,dragon,1,steel
baltoy,ground,1,bug
baltoy,ground,2,electric
baltoy,ground,2,fire
baltoy,ground,0,flying
baltoy,ground,1,grass
baltoy,ground,2,poison
baltoy,ground,2,rock
baltoy,ground,2,steel
baltoy,psychic,0,dark
baltoy,psychic,2,fighting
baltoy,psychic,2,poison
baltoy,psychic,1,psychic
baltoy,psychic,1,steel
banette,ghost,1,dark
banette,ghost,2,ghost
banette,ghost,0,normal
banette,ghost,2,psychic
banette-mega,ghost,1,dark
banette-mega,ghost,2,ghost
banette-mega,ghost,0,normal
banette-mega,ghost,2,psychic
barbaracle,rock,2,bug
barbaracle,rock,1,fighting
barbaracle,rock,2,fire
barbaracle,rock,2,flying
barbaracle,rock,1,ground
barbaracle,rock,2,ice
barbaracle,rock,1,steel
barbaracle,water,1,dragon
barbaracle,water,2,fire
barbaracle,water,1,grass
barbaracle,water,2,ground
barbaracle,water,2,rock
barbaracle,water,1,water
barboach,ground,1,bug
barboach,ground,2,electric
barboach,ground,2,fire
barboach,ground,0,flying
barboach,ground,1,grass
barboach,ground,2,poison
barboach,ground,2,rock
barboach,ground,2,steel
barboach,water,1,dragon
barboach,water,2,fire
barboach,water,1,grass
barboach,water,2,ground
barboach,water,2,rock
barboach,water,1,water
basculin-blue-striped,water,1,dragon
basculin-blue-striped,water,2,fire
basculin-blue-striped,water,1,grass
basculin-blue-striped,water,2,ground
basculin-blue-striped,water,2,rock
basculin-blue-striped,water,1,water
basculin-red-striped,water,1,dragon
basculin-red-striped,water,2,fire
basculin-red-striped,water,1,grass
basculin-red-striped,water,2,ground
basculin-red-striped,water,2,rock
basculin-red-striped,water,1,water
bastiodon,rock,2,bug
bastiodon,rock,1,fighting
bastiodon,rock,2,fire
bastiodon,rock,2,flying
bastiodon,rock,1,ground
bastiodon,rock,2,ice
bastiodon,rock,1,steel
bastiodon,steel,1,electric
bastiodon,steel,2,fairy
bastiodon,steel,1,fire
bastiodon,steel,2,ice
bastiodon,steel,2,rock
bastiodon,steel,1,steel
bastiodon,steel,1,water
bayleef,grass,1,bug
bayleef,grass,1,dragon
bayleef,grass,1,fire
bayleef,grass,1,flying
bayleef,grass,1,grass
bayleef,grass,2,ground
bayleef,grass,1,poison
bayleef,grass,2,rock
bayleef,grass,1,steel
bayleef,grass,2,water
beartic,ice,2,dragon
beartic,ice,1,fire
beartic,ice,2,flying
beartic,ice,2,grass
beartic,ice,2,ground
beartic,ice,1,ice
beartic,ice,1,steel
beartic,ice,1,water
beautifly,bug,2,dark
beautifly,bug,1,fairy
beautifly,bug,1,fighting
beautifly,bug,1,fire
beautifly,bug,1,flying
beautifly,bug,1,ghost
beautifly,bug,2,grass
beautifly,bug,1,poison
beautifly,bug,2,psychic
beautifly,bug,1,steel
beautifly,flying,2,bug
beautifly,flying,1,electric
beautifly,flying,2,fighting
beautifly,flying,2,grass
beautifly,flying,1,rock
beautifly,flying,1,steel
beedrill,bug,2,dark
beedrill,bug,1,fairy
beedrill,bug,1,fighting
beedrill,bug,1,fire
beedrill,bug,1,flying
beedrill,bug,1,ghost
beedrill,bug,2,grass
beedrill,bug,1,poison
beedrill,bug,2,psychic
beedrill,bug,1,steel
beedrill,poison,2,fairy
beedrill,poison,1,ghost
beedrill,poison,2,grass
beedrill,poison,1,ground
beedrill,poison,1,poison
beedrill,poison,1,rock
beedrill,poison,0,steel
beedrill-mega,bug,2,dark
beedrill-mega,bug,1,fairy
beedrill-mega,bug,1,fighting
beedrill-mega,bug,1,fire
beedrill-mega,bug,1,flying
beedrill-mega,bug,1,ghost
beedrill-mega,bug,2,grass
beedrill-mega,bug,1,poison
beedrill-mega,bug,2,psychic
beedrill-mega,bug,1,steel
beedrill-mega,poison,2,fairy
beedrill-mega,poison,1,ghost
beedrill-mega,poison,2,grass
beedrill-mega,poison,1,ground
beedrill-mega,poison,1,poison
beedrill-mega,poison,1,rock
beedrill-mega,poison,0,steel
beheeyem,psychic,0,dark
beheeyem,psychic,2,fighting
beheeyem,psychic,2,poison
beheeyem,psychic,1,psychic
beheeyem,psychic,1,steel
beldum,psychic,0,dark
beldum,psychic,2,fighting
beldum,psychic,2,poison
beldum,psychic,1,psychic
beldum,psychic,1,steel
beldum,steel,1,electric
beldum,steel,2,fairy
beldum,steel,1,fire
beldum,steel,2,ice
beldum,steel,2,rock
beldum,steel,1,steel
beldum,steel,1,water
bellossom,grass,1,bug
bellossom,grass,1,dragon
bellossom,grass,1,fire
bellossom,grass,1,flying
bellossom,grass,1,grass
bellossom,grass,2,ground
bellossom,grass,1,poison
bellossom,grass,2,rock
bellossom,grass,1,steel
bellossom,grass,2,water
bellsprout,grass,1,bug
bellsprout,grass,1,dragon
bellsprout,grass,1,fire
bellsprout,grass,1,flying
bellsprout,grass,1,grass
bellsprout,grass,2,ground
bellsprout,grass,1,poison
bellsprout,grass,2,rock
bellsprout,grass,1,steel
bellsprout,grass,2,water
bellsprout,poison,2,fairy
bellsprout,poison,1,ghost
bellsprout,poison,2,grass
bellsprout,poison,1,ground
bellsprout,poison,1,poison
bellsprout,poison,1,rock
bellsprout,poison,0,steel
bergmite,ice,2,dragon
bergmite,ice,1,fire
bergmite,ice,2,flying
bergmite,ice,2,grass
bergmite,ice,2,ground
bergmite,ice,1,ice
bergmite,ice,1,steel
bergmite,ice,1,water
bibarel,normal,0,ghost
bibarel,normal,1,rock
bibarel,normal,1,steel
bibarel,water,1,dragon
bibarel,water,2,fire
bibarel,water,1,grass
bibarel,water,2,ground
bibarel,water,2,rock
bibarel,water,1,water
bidoof,normal,0,ghost
bidoof,normal,1,rock
bidoof,normal,1,steel
binacle,rock,2,bug
binacle,rock,1,fighting
binacle,rock,2,fire
binacle,rock,2,flying
binacle,rock,1,ground
binacle,rock,2,ice
binacle,rock,1,steel
binacle,water,1,dragon
binacle,water,2,fire
binacle,water,1,grass
binacle,water,2,ground
binacle,water,2,rock
binacle,water,1,water
bisharp,dark,1,dark
bisharp,dark,1,fairy
bisharp,dark,1,fighting
bisharp,dark,2,ghost
bisharp,dark,2,psychic
bisharp,steel,1,electric
bisharp,steel,2,fairy
bisharp,steel,1,fire
bisharp,steel,2,ice
bisharp,steel,2,rock
bisharp,steel,1,steel
bisharp,steel,1,water
blastoise,water,1,dragon
blastoise,water,2,fire
blastoise,water,1,grass
blastoise,water,2,ground
blastoise,water,2,rock
blastoise,water,1,water
blastoise-mega,water,1,dragon
blastoise-mega,water,2,fire
blastoise-mega,water,1,grass
blastoise-mega,water,2,ground
blastoise-mega,water,2,rock
blastoise-mega,water,1,water
blaziken,fighting,1,bug
blaziken,fighting,2,dark
blaziken,fighting,1,fairy
blaziken,fighting,1,flying
blaziken,fighting,0,ghost
blaziken,fighting,2,ice
blaziken,fighting,2,normal
blaziken,fighting,1,poison
blaziken,fighting,1,psychic
blaziken,fighting,2,rock
blaziken,fighting,2,steel
blaziken,fire,2,bug
blaziken,fire,1,dragon
blaziken,fire,1,fire
blaziken,fire,2,grass
blaziken,fire,2,ice
blaziken,fire,1,rock
blaziken,fire,2,steel
blaziken,fire,1,water
blaziken-mega,fighting,1,bug
blaziken-mega,fighting,2,dark
blaziken-mega,fighting,1,fairy
blaziken-mega,fighting,1,flying
blaziken-mega,fighting,0,ghost
blaziken-mega,fighting,2,ice
blaziken-mega,fighting,2,normal
blaziken-mega,fighting,1,poison
blaziken-mega,fighting,1,psychic
blaziken-mega,fighting,2,rock
blaziken-mega,fighting,2,steel
blaziken-mega,fire,2,bug
blaziken-mega,fire,1,dragon
blaziken-mega,fire,1,fire
blaziken-mega,fire,2,grass
blaziken-mega,fire,2,ice
blaziken-mega,fire,1,rock
blaziken-mega,fire,2,steel
blaziken-mega,fire,1,water
blissey,normal,0,ghost
blissey,normal,1,rock
blissey,normal,1,steel
blitzle,electric,1,dragon
blitzle,electric,1,electric
blitzle,electric,2,flying
blitzle,electric,1,grass
blitzle,electric,0,ground
blitzle,electric,2,water
boldore,rock,2,bug
boldore,rock,1,fighting
boldore,rock,2,fire
boldore,rock,2,flying
boldore,rock,1,ground
boldore,rock,2,ice
boldore,rock,1,steel
bonsly,rock,2,bug
bonsly,rock,1,fighting
bonsly,rock,2,fire
bonsly,rock,2,flying
bonsly,rock,1,ground
bonsly,rock,2,ice
bonsly,rock,1,steel
bouffalant,normal,0,ghost
bouffalant,normal,1,rock
bouffalant,normal,1,steel
braixen,fire,2,bug
braixen,fire,1,dragon
braixen,fire,1,fire
braixen,fire,2,grass
braixen,fire,2,ice
braixen,fire,1,rock
braixen,fire,2,steel
braixen,fire,1,water
braviary,flying,2,bug
braviary,flying,1,electric
braviary,flying,2,fighting
braviary,flying,2,grass
braviary,flying,1,rock
braviary,flying,1,steel
braviary,normal,0,ghost
braviary,normal,1,rock
braviary,normal,1,steel
breloom,fighting,1,bug
breloom,fighting,2,dark
breloom,fighting,1,fairy
breloom,fighting,1,flying
breloom,fighting,0,ghost
breloom,fighting,2,ice
breloom,fighting,2,normal
breloom,fighting,1,poison
breloom,fighting,1,psychic
breloom,fighting,2,rock
breloom,fighting,2,steel
breloom,grass,1,bug
breloom,grass,1,dragon
breloom,grass,1,fire
breloom,grass,1,flying
breloom,grass,1,grass
breloom,grass,2,ground
breloom,grass,1,poison
breloom,grass,2,rock
breloom,grass,1,steel
breloom,grass,2,water
bronzong,psychic,0,dark
bronzong,psychic,2,fighting
bronzong,psychic,2,poison
bronzong,psychic,1,psychic
bronzong,psychic,1,steel
bronzong,steel,1,electric
bronzong,steel,2,fairy
bronzong,steel,1,fire
bronzong,steel,2,ice
bronzong,steel,2,rock
bronzong,steel,1,steel
bronzong,steel,1,water
bronzor,psychic,0,dark
bronzor,psychic,2,fighting
bronzor,psychic,2,poison
bronzor,psychic,1,psychic
bronzor,psychic,1,steel
bronzor,steel,1,electric
bronzor,steel,2,fairy
bronzor,steel,1,fire
bronzor,steel,2,ice
bronzor,steel,2,rock
bronzor,steel,1,steel
bronzor,steel,1,water
budew,grass,1,bug
budew,grass,1,dragon
budew,grass,1,fire
budew,grass,1,flying
budew,grass,1,grass
budew,grass,2,ground
budew,grass,1,poison
budew,grass,2,rock
budew,grass,1,steel
budew,grass,2,water
budew,poison,2,fairy
budew,poison,1,ghost
budew,poison,2,grass
budew,poison,1,ground
budew,poison,1,poison
budew,poison,1,rock
budew,poison,0,steel
buizel,water,1,dragon
buizel,water,2,fire
buizel,water,1,grass
buizel,water,2,ground
buizel,water,2,rock
buizel,water,1,water
bulbasaur,grass,1,bug
bulbasaur,grass,1,dragon
bulbasaur,grass,1,fire
bulbasaur,grass,1,flying
bulbasaur,grass,1,grass
bulbasaur,grass,2,ground
bulbasaur,grass,1,poison
bulbasaur,grass,2,rock
bulbasaur,grass,1,steel
bulbasaur,grass,2,water
bulbasaur,poison,2,fairy
bulbasaur,poison,1,ghost
bulbasaur,poison,2,grass
bulbasaur,poison,1,ground
bulbasaur,poison,1,poison
bulbasaur,poison,1,rock
bulbasaur,poison,0,steel
buneary,normal,0,ghost
buneary,normal,1,rock
buneary,normal,1,steel
bunnelby,normal,0,ghost
bunnelby,normal,1,rock
bunnelby,normal,1,steel
burmy,bug,2,dark
burmy,bug,1,fairy
burmy,bug,1,fighting
burmy,bug,1,fire
burmy,bug,1,flying
burmy,bug,1,ghost
burmy,bug,2,grass
burmy,bug,1,poison
burmy,bug,2,psychic
burmy,bug,1,steel
butterfree,bug,2,dark
butterfree,bug,1,fairy
butterfree,bug,1,fighting
butterfree,bug,1,fire
butterfree,bug,1,flying
butterfree,bug,1,ghost
butterfree,bug,2,grass
butterfree,bug,1,poison
butterfree,bug,2,psychic
butterfree,bug,1,steel
butterfree,flying,2,bug
butterfree,flying,1,electric
butterfree,flying,2,fighting
butterfree,flying,2,grass
butterfree,flying,1,rock
butterfree,flying,1,steel
cacnea,grass,1,bug
cacnea,grass,1,dragon
cacnea,grass,1,fire
cacnea,grass,1,flying
cacnea,grass,1,grass
cacnea,grass,2,ground
cacnea,grass,1,poison
cacnea,grass,2,rock
cacnea,grass,1,steel
cacnea,grass,2,water
cacturne,dark,1,dark
cacturne,dark,1,fairy
cacturne,dark,1,fighting
cacturne,dark,2,ghost
cacturne,dark,2,psychic
cacturne,grass,1,bug
cacturne,grass,1,dragon
cacturne,grass,1,fire
cacturne,grass,1,flying
cacturne,grass,1,grass
cacturne,grass,2,ground
cacturne,grass,1,poison
cacturne,grass,2,rock
cacturne,grass,1,steel
cacturne,grass,2,water
camerupt,fire,2,bug
camerupt,fire,1,dragon
camerupt,fire,1,fire
camerupt,fire,2,grass
camerupt,fire,2,ice
camerupt,fire,1,rock
camerupt,fire,2,steel
camerupt,fire,1,water
camerupt,ground,1,bug
camerupt,ground,2,electric
camerupt,ground,2,fire
camerupt,ground,0,flying
camerupt,ground,1,grass
camerupt,ground,2,poison
camerupt,ground,2,rock
camerupt,ground,2,steel
camerupt-mega,fire,2,bug
camerupt-mega,fire,1,dragon
camerupt-mega,fire,1,fire
camerupt-mega,fire,2,grass
camerupt-mega,fire,2,ice
camerupt-mega,fire,1,rock
camerupt-mega,fire,2,steel
camerupt-mega,fire,1,water
camerupt-mega,ground,1,bug
camerupt-mega,ground,2,electric
camerupt-mega,ground,2,fire
camerupt-mega,ground,0,flying
camerupt-mega,ground,1,grass
camerupt-mega,ground,2,poison
camerupt-mega,ground,2,rock
camerupt-mega,ground,2,steel
carbink,fairy,2,dark
carbink,fairy,2,dragon
carbink,fairy,2,fighting
carbink,fairy,1,fire
carbink,fairy,1,poison
carbink,fairy,1,steel
carbink,rock,2,bug
carbink,rock,1,fighting
carbink,rock,2,fire
carbink,rock,2,flying
carbink,rock,1,ground
carbink,rock,2,ice
carbink,rock,1,steel
carnivine,grass,1,bug
carnivine,grass,1,dragon
carnivine,grass,1,fire
carnivine,grass,1,flying
carnivine,grass,1,grass
carnivine,grass,2,ground
carnivine,grass,1,poison
carnivine,grass,2,rock
carnivine,grass,1,steel
carnivine,grass,2,water
carracosta,rock,2,bug
carracosta,rock,1,fighting
carracosta,rock,2,fire
carracosta,rock,2,flying
carracosta,rock,1,ground
carracosta,rock,2,ice
carracosta,rock,1,steel
carracosta,water,1,dragon
carracosta,water,2,fire
carracosta,water,1,grass
carracosta,water,2,ground
carracosta,water,2,rock
carracosta,water,1,water
carvanha,dark,1,dark
carvanha,dark,1,fairy
carvanha,dark,1,fighting
carvanha,dark,2,ghost
carvanha,dark,2,psychic
carvanha,water,1,dragon
carvanha,water,2,fire
carvanha,water,1,grass
carvanha,water,2,ground
carvanha,water,2,rock
carvanha,water,1,water
cascoon,bug,2,dark
cascoon,bug,1,fairy
cascoon,bug,1,fighting
cascoon,bug,1,fire
cascoon,bug,1,flying
cascoon,bug,1,ghost
cascoon,bug,2,grass
cascoon,bug,1,poison
cascoon,bug,2,psychic
cascoon,bug,1,steel
castform,normal,0,ghost
castform,normal,1,rock
castform,normal,1,steel
castform-rainy,water,1,dragon
castform-rainy,water,2,fire
castform-rainy,water,1,grass
castform-rainy,water,2,ground
castform-rainy,water,2,rock
castform-rainy,water,1,water
castform-snowy,ice,2,dragon
castform-snowy,ice,1,fire
castform-snowy,ice,2,flying
castform-snowy,ice,2,grass
castform-snowy,ice,2,ground
castform-snowy,ice,1,ice
castform-snowy,ice,1,steel
castform-snowy,ice,1,water
castform-sunny,fire,2,bug
castform-sunny,fire,1,dragon
castform-sunny,fire,1,fire
castform-sunny,fire,2,grass
castform-sunny,fire,2,ice
castform-sunny,fire,1,rock
castform-sunny,fire,2,steel
castform-sunny,fire,1,water
caterpie,bug,2,dark
caterpie,bug,1,fairy
caterpie,bug,1,fighting
caterpie,bug,1,fire
caterpie,bug,1,flying
caterpie,bug,1,ghost
caterpie,bug,2,grass
caterpie,bug,1,poison
caterpie,bug,2,psychic
caterpie,bug,1,steel
celebi,grass,1,bug
celebi,grass,1,dragon
celebi,grass,1,fire
celebi,grass,1,flying
celebi,grass,1,grass
celebi,grass,2,ground
celebi,grass,1,poison
celebi,grass,2,rock
celebi,grass,1,steel
celebi,grass,2,water
celebi,psychic,0,dark
celebi,psychic,2,fighting
celebi,psychic,2,poison
celebi,psychic,1,psychic
celebi,psychic,1,steel
chandelure,fire,2,bug
chandelure,fire,1,dragon
chandelure,fire,1,fire
chandelure,fire,2,grass
chandelure,fire,2,ice
chandelure,fire,1,rock
chandelure,fire,2,steel
chandelure,fire,1,water
chandelure,ghost,1,dark
chandelure,ghost,2,ghost
chandelure,ghost,0,normal
